60	6031433.88	6429241.57
142	6031491.83	6429238.70
360	6031505.54	6429512.14
543	6031918.37	6429558.49
544	6032118.13	6428390.81
545	6032106.52	6428454.47
3420	6031597.30	6428369.00
3421	6031449.70	6428364.43
546	6031946.68	6429400.57
547	6031971.42	6429251.90
548	6031996.86	6429100.83
549	6032022.41	6428952.49
550	6032048.46	6428802.60
551	6032074.11	6428652.86
552	6032087.51	6428564.78
553	6032094.97	6428512.37
554	6031918.68	6428383.17
555	6031892.68	6428382.50
556	6031774.85	6428377.70
557	6031691.02	6428373.35
558	6031425.86	6428791.41
559	6031423.17	6429069.47
560	6031575.80	6428794.10
561	6031765.79	6428797.52
562	6031925.74	6428800.39
563	6031552.99	6429076.57
564	6031742.71	6429086.94
565	6031932.39	6429097.31

U107	6032049.25	6428797.98
U108	6031987.63	6429155.63
U109	6031986.66	6429161.39
U110	6031821.15	6429547.61
U111	6031648.64	6429528.23
U112	6031615.54	6429524.51
U113	6031498.50	6429369.13
U114	6031426.73	6428717.14
U115	6031695.69	6428373.59
